Nome;Cognome;Data_nascita;Via;No_Civico;Città;Nap;No_Telefono;E-mail;Sesso;Hobby;Professione;Data_Registazione
Mattia;Toscanelli;09/10/2018;Rime;213;Mendrisio;12312;22313123123;mattia.toscanelli0325@gmail.com;Maschio;ciao;come;mi;chiamo;;-;2018-10-31 14:47:20
Mattia;Toscanelli;23/10/2018;Rime;1231;Mendrisio;12312;9162465042;mattia.toscanelli0325@gmail.com;Maschio;sfsfsdF,sdfsdfsd,sdfsdfsd,;sdfsdfsdFSD,sdfsdfsdf,sdfsdfsdf,;2018-10-31 14:53:00
Mattia;Toscanelli;01/11/2018;Rime;123;Mendrisio;12323;9164650422;mattia.toscanelli0325@gmail.com;Maschio;ciao &quot,ciao&quot,;-;2018-11-01 12:47:59
Mattia;Toscanelli;01/11/2018;Rime;123;Mendrisio;12323;9164650422;mattia.toscanelli0325@gmail.com;Maschio;'ciao';-;2018-11-01 12:48:32
Mattia;Toscanelli;01/11/2018;Rime;123;Mendrisio;12323;9164650422;mattia.toscanelli0325@gmail.com;Maschio;&quotciao&quot;-;2018-11-01 12:49:56
Mattia;Toscanelli;01/11/2018;Rime;123;Mendrisio;12323;9164650422;mattia.toscanelli0325@gmail.com;Maschio;ciao come ti ?;-;2018-11-01 12:50:09
Mattia;Toscanelli;29/10/2018;Rime;231;Mendrisio;1231;0916465042;mattia.toscanelli0325@gmail.com;Maschio;-;-;2018-11-01 13:43:26
llllll;Tnnnnscanelli;12/11/2001;Rime;23;Mendrisio;6850;0916462815;lol@gmail.com;Femmina;-;-;2018-11-01 17:19:41
Mads;Toscanelli;27/03/2018;Rime;123;Mendrisio;12323;916465042 2;mattia.toscanelli0325@gmail.com;trdtrd;-;-;2018-11-02 16:09:29
Mattia;Toscanelli;25/02/2018;Rime;24;Mendrisio;3243;9164650342;mattia.toscanelli0325@gmail.com;11;-;-;2018-11-02 16:15:23
Mattia;Toscanelli;25/02/2018;Rime;24;Mendrisio;3243;9164650342;mattia.toscanelli0325@gmail.com;werew;-;-;2018-11-02 16:16:29
Mattia;Toscanelli;25/02/2018;Rime;24;Mendrisio;3243;9164650342;mattia.toscanelli0325@gmail.com;Maschio;-;-;2018-11-02 16:18:58
Mattia;Toscanelli;25/02/2018;Rime;24;Mendrisio;3243;9164650342;mattia.toscanelli0325@gmail.com;Femmina;-;-;2018-11-02 16:19:51
Mattia;Toscanelli;25/02/2018;Rime;24;Mendrisio;3243;9164650342;mattia.toscanelli0325@gmail.com;Maschio;ciaocoioaocioncccsdcisdcsdi;-;2018-11-02 16:56:58
Mattia;Toscanelli;08/05/2001;Rime;12;Mendrisio;21312;0916465042;mattia.toscanelli0325@gmail.com;Maschio;-;-;2018-11-04 12:44:42
nome;cognome;31/10/2018;via lezzo;123;lugano;13123;9164650422;pezzottoluigi@hotmail.com;Maschio;-;-;2018-11-04 12:45:31
CArlo;Carlo;03/11/2001;via laveggio;123;Texas;77478;+4182193912;qwqweqweqwewqwqwe@qwqwewq.com;Maschio;qweqweqw;qwweqwew;2018-11-05 07:58:40
Paolo Claudio;Weishaupt;01/11/2018;Via San Gottardo;49;Gordola;6600;0786702315;pappagallo.parrot@gmail.com;Maschio;Pide;pide;2018-11-07 08:12:04
Luigi;Boh;29/10/2018;Rime;123;Mendrisio;23123;09164335042;mattii0325@gmail.com;Maschio;Mi piace il ciccolato;Lavoro presso casa mia;2018-11-09 11:06:06
nome;cognome;07/11/2018;via lezzo;123;lugano;12312;+23 2332 323 23;pezzottoluigi@hotmail.com;Maschio;Ciao Cane;-;2018-11-09 11:06:51
nome;cognome;02/04/2018;via lezzo;23d;lugano;12312;123213123123;pezzottoluigi@hotmail.com;Maschio;-;-;2018-11-09 11:07:51
nome;cognomeeee;29/10/2018;via lezzo;123;lugano;12313;213131231231;pezzottoluigi@hotmail.com;Maschio;-;-;2018-11-09 11:09:00
